Altium Designer Pick and Place Locations
C:\Users\user\Documents\LTDYOB\28_Pins_Project_V1I2\Project Outputs for 28_Pins_Project_V1I2\Pick Place\Pick Place for 28_Pins_Project_V1I2(5V_3V3).txt

========================================================================================================================
File Design Information:

Date:       12/10/21
Time:       14:24
Revision:   64098a031442a2e9d1d3bdcca113753c2e12c8c8
Variant:    5V/3V3
Units used: mm

Designator    Comment                  Layer    Footprint                        Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                                                                                                                               
J1            "HDR 2x2"                TopLayer HDR_2X2_2.54MM                   3.8100       32.9300      270      "CONN HEADER 4POS .100 STR 15AU"                                                                                                                                                                                                                          
SW2           1825910-6                TopLayer 1825910-6                        62.6750      28.3500      270      "6X6, H5,  160G TAC.SWITCH"                                                                                                                                                                                                                               
SW1           1825910-6                TopLayer 1825910-6                        22.4500      5.3500       0        "6X6, H5,  160G TAC.SWITCH"                                                                                                                                                                                                                               
U7            SN74AHC1G09DBVR          TopLayer DBV_SOT_23_5                     65.7750      15.7500      270      "TEXAS INSTRUMENTS - SN74AHC1G09DBVR - AND Gate, 74AHC1G09, 2 Input, 2 V to 5.5 V, SOT-23-5"                                                                                                                                                              
U6            SN74AHC1G09DBVR          TopLayer DBV_SOT_23_5                     6.1000       26.3000      90       "TEXAS INSTRUMENTS - SN74AHC1G09DBVR - AND Gate, 74AHC1G09, 2 Input, 2 V to 5.5 V, SOT-23-5"                                                                                                                                                              
U5            SN74AHC1G09DBVR          TopLayer DBV_SOT_23_5                     22.1000      15.4000      0        "TEXAS INSTRUMENTS - SN74AHC1G09DBVR - AND Gate, 74AHC1G09, 2 Input, 2 V to 5.5 V, SOT-23-5"                                                                                                                                                              
U4            SN74AHC1G09DBVR          TopLayer DBV_SOT_23_5                     18.2000      43.3000      0        "TEXAS INSTRUMENTS - SN74AHC1G09DBVR - AND Gate, 74AHC1G09, 2 Input, 2 V to 5.5 V, SOT-23-5"                                                                                                                                                              
J6            "HDR FEMALE 1x10 2.54mm" TopLayer HDR_FEMALE_1X10_2.54MM           30.2260      50.8000      270      "10-WAY SIL VERT SOCKET L/FREE"                                                                                                                                                                                                                           
R24           10k                      TopLayer R0805                            66.5750      23.2250      270      "RES SMD 10K OHM 1% 1/8W 0805"                                                                                                                                                                                                                            
R22           10k                      TopLayer R0805                            27.4000      5.8000       270      "RES SMD 10K OHM 1% 1/8W 0805"                                                                                                                                                                                                                            
R21           10k                      TopLayer R0805                            66.6750      19.8250      90       "RES SMD 10K OHM 1% 1/8W 0805"                                                                                                                                                                                                                            
R23           10k                      TopLayer R0805                            3.0000       28.3000      90       "RES SMD 10K OHM 1% 1/8W 0805"                                                                                                                                                                                                                            
R17           10k                      TopLayer R0805                            61.3000      22.6000      0        "RES SMD 10K OHM 1% 1/8W 0805"                                                                                                                                                                                                                            
R5            10k                      TopLayer R0805                            9.1000       27.3000      270      "RES SMD 10K OHM 1% 1/8W 0805"                                                                                                                                                                                                                            
Z2            CG0603MLC-05E            TopLayer R0603                            6.9000       19.0000      90       "VARISTOR 0603"                                                                                                                                                                                                                                           
